time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-22T07:24:22.510Z,61.3667,-149.5966,32,1.4,ml,,,,0.46,ak,ak0223q2uc5n,2022-03-22T07:33:25.803Z,"5 km NNW of Eagle River, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-22T07:22:07.430Z,37.3753333,-118.6913333,11.15,1.78,md,25,63,0.1044,0.05,nc,nc73708666,2022-03-22T09:23:16.205Z,"9km WSW of Round Valley, CA",earthquake,0.23,0.87,0.182,24,reviewed,nc,nc
2022-03-22T07:20:49.660Z,64.8612,-148.7236,9.2,1.6,ml,,,,0.61,ak,ak0223q2tjdt,2022-03-22T07:36:25.642Z,"33 km W of Ester, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-22T07:12:50.550Z,34.3165,-116.4531667,7.73,0.98,ml,13,173,0.06355,0.21,ci,ci39974055,2022-03-22T07:16:33.374Z,"23km N of Yucca Valley, CA",earthquake,0.55,1.14,0.197,16,automatic,ci,ci
2022-03-22T07:01:49.490Z,36.452,-98.766,8.54,0.8,ml,21,107,0.02879434957,0.1,ok,ok2022fqse,2022-03-22T13:32:35.565Z,"17 km SE of Waynoka, Oklahoma",earthquake,,0.4,0.15,6,reviewed,ok,ok
2022-03-22T06:58:45.210Z,19.4783325195312,-155.473007202148,3.47000002861023,2.18,ml,34,75,,0.239999995,hv,hv72958797,2022-03-22T07:04:15.690Z,"25 km W of Volcano, Hawaii",earthquake,0.55,2.00999999,3.73,8,automatic,hv,hv
2022-03-22T06:27:13.844Z,0.4255,97.0736,10,4.8,mb,,160,1.006,0.57,us,us6000h6l1,2022-03-22T06:42:53.040Z,"220 km SSW of Singkil, Indonesia",earthquake,5.7,1.3,0.086,42,reviewed,us,us
2022-03-22T06:18:12.000Z,17.9375,-67.0053333333333,11.12,2.48,md,3,233,,0.03,pr,pr71341253,2022-03-22T06:27:06.890Z,"6 km SE of La Parguera, Puerto Rico",earthquake,1.78,0.8,0.0145490295409236,2,reviewed,pr,pr
2022-03-22T05:30:05.663Z,60.3832,-147.7712,11.1,1.7,ml,,,,0.52,ak,ak0223q1opxy,2022-03-22T05:32:29.643Z,"Southern Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-03-22T05:22:34.028Z,36.4744,71.051,116.94,4.1,mb,,104,0.753,0.8,us,us6000h6kq,2022-03-22T05:56:19.040Z,"47 km SSE of Jurm, Afghanistan",earthquake,6.6,7.5,0.131,16,reviewed,us,us
2022-03-22T05:19:58.110Z,33.319,-116.3711667,8.75,0.57,ml,14,88,0.06365,0.12,ci,ci39974047,2022-03-22T05:23:39.455Z,"7km N of Borrego Springs, CA",earthquake,0.29,0.51,0.161,6,automatic,ci,ci
